15:50:18 [INFO] Discovering files in output/extracted_chm...
15:52:47 [INFO] [ 56.1%] (22800/40625) 29f02894-37e2-bc77-ac27-0eb66fe19824.htm
15:52:48 [INFO] [ 56.4%] (22900/40625) 2b2298fd-cc2a-8f6e-de70-43d926c8c4d1.htm
15:52:48 [INFO] [ 56.6%] (23000/40625) 2c79c7d8-08b1-7913-7a73-c22eef6dce99.htm
15:52:49 [INFO] [ 56.9%] (23100/40625) 2dc0b08c-d4dd-a99e-3225-ec094861c8f8.htm
15:52:49 [INFO] [ 57.1%] (23200/40625) 2efb27b0-62e5-e695-218d-f1cab099115a.htm
15:52:50 [INFO] [ 57.4%] (23300/40625) 3024fa4b-fbe9-adc4-73ca-5e6d61a19b4d.htm
15:52:50 [INFO] [ 57.6%] (23400/40625) 3155f1d8-20ed-2edd-9b73-e031628d7a8d.htm
15:52:51 [INFO] [ 57.8%] (23500/40625) 327e7417-23a0-d1f9-9c45-8150be437a53.htm
15:52:51 [INFO] [ 58.1%] (23600/40625) 33bd8a47-bf3c-5cb1-d400-d1d3a3cfc4a6.htm
15:52:52 [INFO] [ 58.3%] (23700/40625) 34f901fd-7aaf-b332-09f7-c05d1020e8ad.htm
15:52:52 [INFO] [ 58.6%] (23800/40625) 36274353-afea-3a96-4d8e-05bdbcabcd96.htm
15:52:52 [INFO] [ 58.8%] (23900/40625) 375b5b08-f7f9-d067-8e63-57ce4caf4789.htm
15:52:53 [INFO] [ 59.1%] (24000/40625) 387e282d-9840-2581-a4e7-d6ae672d1d0b.htm
15:52:53 [INFO] [ 59.3%] (24100/40625) 399dd5a1-33df-d361-1872-7cdb07260526.htm
15:52:54 [INFO] [ 59.6%] (24200/40625) 3aebd9a4-03cb-dc52-a514-5c636c5bcc18.htm
15:52:54 [INFO] [ 59.8%] (24300/40625) 3c1dd4d7-6f01-1829-f290-8022b2402f15.htm
15:52:55 [INFO] [ 60.1%] (24400/40625) 3d3e306c-e6aa-070d-ebd5-421aa1682c74.htm
15:52:55 [INFO] [ 60.3%] (24500/40625) 3e5d6dcd-f42a-7e38-76d0-07105b8f9512.htm
15:52:56 [INFO] [ 60.6%] (24600/40625) 3f95f7b3-85e6-efe1-fc5e-33181a21036d.htm
15:52:56 [INFO] [ 60.8%] (24700/40625) 40b85314-e5f5-4d7f-80f3-53197b331b5d.htm
15:52:57 [INFO] [ 61.0%] (24800/40625) 41c76f9a-1589-2126-0a6e-9713af158d90.htm
15:52:57 [INFO] [ 61.3%] (24900/40625) 4322b12b-bd19-d0b8-900a-5f5a386a2ec3.htm
15:52:57 [INFO] [ 61.5%] (25000/40625) 44426d5d-bca0-39b5-c2d8-e97db253625e.htm
15:52:58 [INFO] [ 61.8%] (25100/40625) 4544b274-51b5-37b6-b024-238d2a7be6db.htm
15:52:58 [INFO] [ 62.0%] (25200/40625) 46823f7e-b246-7296-10c7-b3d258bf3eba.htm
15:52:59 [INFO] [ 62.3%] (25300/40625) 47d9a1b3-3395-7bdb-63a9-28daf8964a9e.htm
15:52:59 [INFO] [ 62.5%] (25400/40625) 48f12ebe-62a5-1f87-881e-4d19ebaf342c.htm
15:53:00 [INFO] [ 62.8%] (25500/40625) 4a42859d-3abd-84e5-1218-ad429afa647e.htm
15:53:00 [INFO] [ 63.0%] (25600/40625) 4b6b0964-5680-4643-b7db-0af2ea7b7128.htm
15:53:01 [INFO] [ 63.3%] (25700/40625) 4cca7721-8068-0fa1-8d10-b4a60e98e708.htm
15:53:01 [INFO] [ 63.5%] (25800/40625) 4df1aa3a-c4f1-a1a9-16be-f28644d6bd82.htm
15:53:02 [INFO] [ 63.8%] (25900/40625) 4ef8ebf6-3a09-d5b2-e1c9-8d801a116d91.htm
15:53:02 [INFO] [ 64.0%] (26000/40625) 503f5569-0d4e-d7ac-b101-aa10c45b423e.htm
15:53:02 [INFO] [ 64.2%] (26100/40625) 5190fb47-1467-4065-579e-03394e0a8ab8.htm
15:53:03 [INFO] [ 64.5%] (26200/40625) 52871ba0-ff16-8c5a-fe2d-669a69466389.htm
15:53:03 [INFO] [ 64.7%] (26300/40625) 53a377d3-bc91-dac2-6b60-e0f15c981ed6.htm
15:53:04 [INFO] [ 65.0%] (26400/40625) 54ffb553-dd7b-c650-1c89-53d868561e78.htm
15:53:04 [INFO] [ 65.2%] (26500/40625) 563733ee-44f0-fc13-77a7-cd815babc429.htm
15:53:05 [INFO] [ 65.5%] (26600/40625) 5796aff8-2176-641b-a70d-29dd5cd62818.htm
15:53:05 [INFO] [ 65.7%] (26700/40625) 58cb686b-2282-3ffc-ff1c-b28a3520dc6b.htm
15:53:06 [INFO] [ 66.0%] (26800/40625) 5a1bd41a-ff8a-7340-d020-89484deb6c5f.htm
15:53:06 [INFO] [ 66.2%] (26900/40625) 5b406503-44af-615d-4e52-c6a787aaa239.htm
15:53:07 [INFO] [ 66.5%] (27000/40625) 5c8f0bfd-1943-49d2-5a3a-5d0368f7874e.htm
15:53:07 [INFO] [ 66.7%] (27100/40625) 5dbbd54f-29e3-a539-5e4a-edbe3a225627.htm
15:53:08 [INFO] [ 67.0%] (27200/40625) 5edd1487-2139-0d15-7028-f4b4a6b40bfb.htm
15:53:08 [INFO] [ 67.2%] (27300/40625) 6010e2ec-9594-7cdb-98ac-351253dd9c6c.htm
